,V_ce,CaseTemp,CycleCount
141,1.7292620865555557,94.1370259546153,142
142,1.7295165394444445,94.1456242528889,143
143,1.729770992333333,94.15422255116248,144
144,1.730025445222222,94.16282084943607,145
145,1.7302798981111112,94.17141914770966,146
146,1.730534351,94.18001744598324,147
147,1.7293893128,94.18861574425684,148
148,1.7282442746,94.19721404253043,149
149,1.7270992364,94.20581234080402,150
150,1.7259541982,94.21521987220356,151
151,1.72480916,94.22560948258376,152
152,1.7236641218,94.23599909296397,153
153,1.7225190836,94.24638870334418,154
154,1.7213740454,94.25677831372438,155
155,1.7202290072,94.2671679241046,156
156,1.719083969,94.2775575344848,157
157,1.719083969,94.28794714486502,158
158,1.719083969,94.29833675524524,159
159,1.719083969,94.30872636562545,160
160,1.719083969,94.31911597600563,161
161,1.719083969,94.32950558638586,162
